Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201501,January 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,364269133,,,0
HS,2015,201501,January 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,218520763,,,0
HS,2015,201501,January 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3679,,,0
HS,2015,201502,February 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,305951635,,,0
HS,2015,201502,February 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,236301816,,,0
HS,2015,201502,February 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1388,,,0
HS,2015,201503,March 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,363607507,,,0
HS,2015,201503,March 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,251306171,,,0
HS,2015,201503,March 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2797,,,0
HS,2015,201504,April 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,330916336,,,0
HS,2015,201504,April 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,248946930,,,0
HS,2015,201504,April 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,114063,,,0
HS,2015,201505,May 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,314377106,,,0
HS,2015,201505,May 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,270222185,,,0
HS,2015,201505,May 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,162331,,,0
HS,2015,201506,June 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,359255361,,,0
HS,2015,201506,June 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,268072710,,,0
HS,2015,201506,June 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7295,,,0
HS,2015,201507,July 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,306882745,,,0
HS,2015,201507,July 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,250041782,,,0
HS,2015,201507,July 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,48631,,,0
HS,2015,201508,August 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,284447020,,,0
HS,2015,201508,August 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,250109446,,,0
HS,2015,201508,August 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,44337,,,0
HS,2015,201509,September 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,318375121,,,0
HS,2015,201509,September 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,219382943,,,0
HS,2015,201509,September 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,66999,,,0
HS,2015,201510,October 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,243954004,,,0
HS,2015,201510,October 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,224621439,,,0
HS,2015,201510,October 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1798,,,0
HS,2015,201511,November 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,257767282,,,0
HS,2015,201511,November 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,242610091,,,0
HS,2015,201511,November 2015,0,0,4,Re-imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,29710,,,0
HS,2015,201512,December 2015,0,0,1,Imports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,328585962,,,0
HS,2015,201512,December 2015,0,0,2,Exports,116,Cambodia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,304959081,,,0
